Package,Class,Member Name,Member ID or top-level category,SnippetIdInTheYAMLFile,MethodNameInTheSnippet
Excel,AggregationFunction,,enum,excel-pivottable-filters-and-summaries,genericFunctionSwitch
Excel,Application,decimalSeparator,,excel-culture-info,displayCultureInfo
Excel,Application,calculate,1,excel-performance-optimization,recalculate
Excel,Application,suspendScreenUpdatingUntilNextSync,1,excel-performance-optimization,refreshData
Excel,ArrowheadLength,,enum,excel-shape-lines,arrowLine
Excel,ArrowheadStyle,,enum,excel-shape-lines,arrowLine
Excel,ArrowheadWidth,,enum,excel-shape-lines,arrowLine
Excel,AutoFillType,,enum,excel-range-auto-fill,autoFillFormats
Excel,AutoFilter,apply,1,excel-worksheet-auto-filter,addPercentAutoFilter
Excel,AutoFilter,clearColumnCriteria,1,excel-worksheet-auto-filter,clearSingleAutoFilter
Excel,AutoFilter,reapply,1,excel-worksheet-auto-filter,refreshAutoFilter
Excel,AutoFilter,remove,1,excel-worksheet-auto-filter,removeAllAutoFilters
Excel,Binding,onDataChanged,,excel-events-data-changed,registerDataChangedHandler
Excel,BindingType,,enum,excel-events-disable-events,registerSumChangedHandlers
Excel,BorderLineStyle,,enum,excel-range-cell-properties,setCellProperties
Excel,BuiltInStyle,,enum,excel-range-cell-properties,setCellProperties
Excel,CalculationMode,,enum,excel-workbook-calculation,switchToManualCalculations
Excel,CalculationType,,enum,excel-workbook-calculation,forceCalculation
Excel,CardLayoutSection,,type,excel-data-types-entity-attribution,makeProductEntity
Excel,CardLayoutTableSection,,interface,excel-data-types-entity-attribution,makeProductEntity
Excel,CardLayoutTwoColumnSection,,interface,excel-data-types-entity-attribution,makeProductEntity
Excel,CellBorder,,interface,excel-range-cell-properties,setCellProperties
Excel,CellControl,,type,excel-cell-controls,addCheckboxes
Excel,CellControlType,,enum,excel-cell-controls,addCheckboxes
Excel,CellPropertiesFill,color,,excel-range-cell-properties,setCellProperties
Excel,CellPropertiesFillLoadOptions,color,,excel-range-cell-properties,getCellProperties
Excel,CellPropertiesFont,color,,excel-range-cell-properties,setCellProperties
Excel,CellPropertiesFontLoadOptions,color,,excel-range-cell-properties,getCellProperties
Excel,CellPropertiesLoadOptions,address,,excel-range-cell-properties,getCellProperties
Excel,CellValue,,type,excel-data-types-web-image,insertImage
Excel,CellValueConditionalFormat,format,,excel-range-conditional-formatting-basic,applyCellValueFormat
Excel,CellValueConditionalFormat,rule,,excel-range-conditional-formatting-basic,applyCellValueFormat
Excel,CellValueType,,enum,excel-data-types-error-values,setBusyError
Excel,Chart,getDataTableOrNullObject,1,excel-chart-data-table,addChartDataTable
Excel,Chart,onActivated,,excel-events-chart-activated,registerActivationHandlers
Excel,Chart,onActivated,,excel-events-chart-activated,chartActivated
Excel,Chart,onDeactivated,,excel-events-chart-activated,registerActivationHandlers
Excel,Chart,onDeactivated,,excel-events-chart-activated,chartDeactivated
Excel,ChartAxis,displayUnit,,excel-chart-axis,getAxisUnit
Excel,ChartAxis,showDisplayUnitLabel,,excel-chart-axis,removeAxisLabel
Excel,ChartCollection,onActivated,,excel-events-chart-activated,registerActivationHandlers
Excel,ChartCollection,onActivated,,excel-events-chart-activated,chartActivated
Excel,ChartCollection,onDeactivated,,excel-events-chart-activated,registerActivationHandlers
Excel,ChartCollection,onDeactivated,,excel-events-chart-activated,chartDeactivated
Excel,ChartDataLabel,,class,excel-chart-data-labels,styleDataLabelSubstrings
Excel,ChartDataTable,format,,excel-chart-data-table,formatChartDataTable
Excel,ChartDataTable,showHorizontalBorder,,excel-chart-data-table,formatChartDataTable
Excel,ChartDataTable,showLegendKey,,excel-chart-data-table,formatChartDataTable
Excel,ChartDataTable,showOutlineBorder,,excel-chart-data-table,formatChartDataTable
Excel,ChartDataTable,showVerticalBorder,,excel-chart-data-table,formatChartDataTable
Excel,ChartDataTable,visible,,excel-chart-data-table,addChartDataTable
Excel,ChartDataTableFormat,border,,excel-chart-data-table,formatChartDataTable
Excel,ChartDataTableFormat,font,,excel-chart-data-table,formatChartDataTable
Excel,ChartFill,getSolidColor,1,excel-chart-point,getChartPointColor
Excel,ChartFill,setSolidColor,1,excel-chart-point,setChartPointColor
Excel,ChartLeaderLines,,class,excel-chart-leader-lines,changeLeaderLineFormat
Excel,ChartLeaderLinesFormat,,class,excel-chart-leader-lines,changeLeaderLineFormat
Excel,ChartLegendFormat,font,,excel-chart-legend,formatLegendFont
Excel,ChartLineStyle,,enum,excel-chart-leader-lines,changeLeaderLineFormat
Excel,ChartPoint,,class,excel-chart-data-labels,addDataLabels
Excel,ChartPointsCollection,,class,excel-chart-data-labels,addDataLabels
Excel,ChartSeries,getDimensionValues,1,excel-chart-bubble-chart,getChartSeriesDimensionValues
Excel,ChartSeries,setBubbleSizes,1,excel-chart-bubble-chart,createBubbleChart
Excel,ChartSeries,getDimensionDataSourceString,1,excel-chart-data-source,logChartSeriesSource
Excel,ChartSeries,getDimensionDataSourceType,1,excel-chart-data-source,logChartSeriesSource
Excel,ChartSeries,,class,excel-chart-leader-lines,addDataLabels
Excel,ChartSeries,hasDataLabels,,excel-chart-leader-lines,addDataLabels
