Package,Class,Member Name,Member ID or top-level category,SnippetIdInTheYAMLFile,MethodNameInTheSnippet
Office,AppointmentCompose,addFileAttachmentAsync,1,outlook-attachments-attachments-compose,add
Office,AppointmentCompose,addFileAttachmentFromBase64Async,1,outlook-attachments-attachments-compose,addBase64
Office,AppointmentCompose,addFileAttachmentFromBase64Async,1,outlook-other-item-apis-work-with-client-signatures,setSignatureWithInlineImage
Office,AppointmentCompose,categories,,outlook-categories-work-with-categories,getCategories
Office,AppointmentCompose,categories,,outlook-categories-work-with-categories,addCategories
Office,AppointmentCompose,categories,,outlook-categories-work-with-categories,removeCategories
Office,AppointmentCompose,close,1,outlook-item-save-and-close-close,run
Office,AppointmentCompose,disableClientSignatureAsync,1,outlook-other-item-apis-work-with-client-signatures,disableClientSignature
Office,AppointmentCompose,end,,outlook-other-item-apis-get-set-end-appointment-organizer,getLocal
Office,AppointmentCompose,end,,outlook-other-item-apis-get-set-end-appointment-organizer,set
Office,AppointmentCompose,enhancedLocation,,outlook-other-item-apis-get-add-remove-enhancedlocation-appointment,get
Office,AppointmentCompose,enhancedLocation,,outlook-other-item-apis-get-add-remove-enhancedlocation-appointment,add
Office,AppointmentCompose,enhancedLocation,,outlook-other-item-apis-get-add-remove-enhancedlocation-appointment,remove
Office,AppointmentCompose,getAttachmentContentAsync,1,outlook-attachments-get-attachment-content,getAttachmentContentCompose
Office,AppointmentCompose,getAttachmentsAsync,1,outlook-attachments-attachments-compose,get
Office,AppointmentCompose,getItemIdAsync,2,outlook-other-item-apis-item-id-compose,run
Office,AppointmentCompose,getSelectedDataAsync,2,outlook-item-body-get-selected-data,getSelectedData
Office,AppointmentCompose,getSharedPropertiesAsync,2,outlook-delegates-and-shared-folders-get-shared-properties,get
Office,AppointmentCompose,isAllDayEvent,,outlook-get-set-isalldayevent,getIsAllDayEvent
Office,AppointmentCompose,isAllDayEvent,,outlook-get-set-isalldayevent,setIsAllDayEventTrue
Office,AppointmentCompose,isClientSignatureEnabledAsync,1,outlook-other-item-apis-work-with-client-signatures,isClientSignatureEnabled
Office,AppointmentCompose,itemType,,outlook-other-item-apis-get-item-type,get
Office,AppointmentCompose,loadCustomPropertiesAsync,1,outlook-item-custom-properties-load-set-get-save,load
Office,AppointmentCompose,location,,outlook-other-item-apis-get-set-location-appointment-organizer,get
Office,AppointmentCompose,location,,outlook-other-item-apis-get-set-location-appointment-organizer,set
Office,AppointmentCompose,notificationMessages,,outlook-notifications-add-getall-remove,addProgress
Office,AppointmentCompose,notificationMessages,,outlook-notifications-add-getall-remove,addInformational
Office,AppointmentCompose,notificationMessages,,outlook-notifications-add-getall-remove,addInformationalPersisted
Office,AppointmentCompose,notificationMessages,,outlook-notifications-add-getall-remove,getAll
Office,AppointmentCompose,notificationMessages,,outlook-notifications-add-getall-remove,replace
Office,AppointmentCompose,notificationMessages,,outlook-notifications-add-getall-remove,remove
Office,AppointmentCompose,optionalAttendees,,outlook-recipients-and-attendees-get-set-optional-attendees-appointment-organizer,getOptionalAttendees
Office,AppointmentCompose,optionalAttendees,,outlook-recipients-and-attendees-get-set-optional-attendees-appointment-organizer,setOptionalAttendees
Office,AppointmentCompose,organizer,,outlook-recipients-and-attendees-get-organizer-appointment-organizer,getOrganizer
Office,AppointmentCompose,recurrence,,outlook-recurrence-get-set-recurrence-appointment-organizer,get
Office,AppointmentCompose,recurrence,,outlook-recurrence-get-set-recurrence-appointment-organizer,set
Office,AppointmentCompose,removeAttachmentAsync,1,outlook-attachments-attachments-compose,remove
Office,AppointmentCompose,requiredAttendees,,outlook-recipients-and-attendees-get-set-required-attendees-appointment-organizer,getRequiredAttendees
Office,AppointmentCompose,requiredAttendees,,outlook-recipients-and-attendees-get-set-required-attendees-appointment-organizer,setRequiredAttendees
Office,AppointmentCompose,saveAsync,1,outlook-item-save-and-close-save,run
Office,AppointmentCompose,sendAsync,2,outlook-send-async,sendAsync
Office,AppointmentCompose,sensitivity,,outlook-other-item-apis-get-set-sensitivity-level,getSensitivity
Office,AppointmentCompose,sensitivity,,outlook-other-item-apis-get-set-sensitivity-level,setSensitivityPrivate
Office,AppointmentCompose,sensitivityLabel,,outlook-sensitivity-labels-sensitivity-label,getCurrentSensitivityLabel
Office,AppointmentCompose,seriesId,,outlook-recurrence-get-series-id,getSeriesId
Office,AppointmentCompose,sessionData,,outlook-other-item-apis-session-data-apis,getAllSessionData
Office,AppointmentCompose,setSelectedDataAsync,1,outlook-item-body-set-selected-data,setSelectedData
Office,AppointmentCompose,start,,outlook-other-item-apis-get-set-start-appointment-organizer,getLocal
Office,AppointmentCompose,start,,outlook-other-item-apis-get-set-start-appointment-organizer,set
Office,AppointmentCompose,subject,,outlook-other-item-apis-get-set-subject-compose,get
Office,AppointmentCompose,subject,,outlook-other-item-apis-get-set-subject-compose,set
Office,AppointmentForm,,interface,outlook-display-items-display-new-appointment,runAsync
Office,AppointmentRead,attachments,,outlook-attachments-get-attachments-read,run
Office,AppointmentRead,categories,,outlook-categories-work-with-categories,getCategories
Office,AppointmentRead,categories,,outlook-categories-work-with-categories,addCategories
Office,AppointmentRead,categories,,outlook-categories-work-with-categories,removeCategories
Office,AppointmentRead,dateTimeCreated,,outlook-other-item-apis-get-date-time-created-read,get
Office,AppointmentRead,dateTimeModified,,outlook-other-item-apis-get-date-time-modified-read,get
Office,AppointmentRead,displayReplyAllForm,1,outlook-display-items-display-reply-forms,displayReplyAllForm
Office,AppointmentRead,displayReplyAllForm,1,outlook-display-items-display-reply-with-attachments,replyAll
Office,AppointmentRead,displayReplyAllFormAsync,1,outlook-display-items-display-reply-forms,displayReplyAllFormAsync
Office,AppointmentRead,displayReplyAllFormAsync,1,outlook-display-items-display-reply-with-attachments,replyAllAsync
Office,AppointmentRead,displayReplyForm,1,outlook-display-items-display-reply-forms,displayReplyForm
Office,AppointmentRead,displayReplyForm,1,outlook-display-items-display-reply-with-attachments,reply
Office,AppointmentRead,displayReplyFormAsync,1,outlook-display-items-display-reply-forms,displayReplyFormAsync
Office,AppointmentRead,displayReplyFormAsync,1,outlook-display-items-display-reply-with-attachments,replyAsync
Office,AppointmentRead,end,,outlook-other-item-apis-get-end-read,getLocal
Office,AppointmentRead,enhancedLocation,,outlook-other-item-apis-get-add-remove-enhancedlocation-appointment,get
Office,AppointmentRead,getAttachmentContentAsync,1,outlook-attachments-get-attachment-content,getAttachmentContentRead
Office,AppointmentRead,getRegExMatches,1,outlook-regex-matches-contextual,getRegExMatches
Office,AppointmentRead,getRegExMatchesByName,1,outlook-regex-matches-contextual,getRegExMatchesByName
Office,AppointmentRead,getSelectedRegExMatches,1,outlook-regex-matches-contextual,getSelectedRegExMatches
Office,AppointmentRead,getSharedPropertiesAsync,2,outlook-delegates-and-shared-folders-get-shared-properties,get
Office,AppointmentRead,itemClass,,outlook-other-item-apis-get-item-class-read,get
Office,AppointmentRead,itemType,,outlook-other-item-apis-get-item-type,get
Office,AppointmentRead,loadCustomPropertiesAsync,1,outlook-item-custom-properties-load-set-get-save,load
Office,AppointmentRead,location,,outlook-other-item-apis-get-location-read,get
Office,AppointmentRead,normalizedSubject,,outlook-other-item-apis-get-normalized-subject-read,get
Office,AppointmentRead,notificationMessages,,outlook-notifications-add-getall-remove,addProgress
Office,AppointmentRead,notificationMessages,,outlook-notifications-add-getall-remove,addInformational
Office,AppointmentRead,notificationMessages,,outlook-notifications-add-getall-remove,addInformationalPersisted
Office,AppointmentRead,notificationMessages,,outlook-notifications-add-getall-remove,getAll
Office,AppointmentRead,notificationMessages,,outlook-notifications-add-getall-remove,replace
Office,AppointmentRead,notificationMessages,,outlook-notifications-add-getall-remove,remove
Office,AppointmentRead,optionalAttendees,,outlook-recipients-and-attendees-get-optional-attendees-appointment-attendee,getOptionalAttendees
Office,AppointmentRead,organizer,,outlook-recipients-and-attendees-get-organizer-appointment-attendee,getOrganizer
Office,AppointmentRead,recurrence,,outlook-recurrence-get-recurrence-read,get
Office,AppointmentRead,requiredAttendees,,outlook-recipients-and-attendees-get-required-attendees-appointment-attendee,getRequiredAttendees
Office,AppointmentRead,seriesId,,outlook-recurrence-get-series-id,getSeriesId
Office,AppointmentRead,start,,outlook-other-item-apis-get-start-read,getLocal
Office,AppointmentRead,subject,,outlook-other-item-apis-get-subject-read,get
Office,AttachmentDetails,,interface,outlook-attachments-get-attachments-read,run
Office,AttachmentDetailsCompose,,interface,outlook-attachments-attachments-compose,get
Office,Body,,interface,outlook-item-body-add-inline-base64-image,appendImage
Office,Body,appendOnSendAsync,1,outlook-item-body-append-text-on-send,appendOnSend
Office,Body,getAsync,2,outlook-item-body-add-inline-base64-image,appendImage
Office,Body,getTypeAsync,1,outlook-item-body-get-body-format,getBodyFormat
Office,Body,prependAsync,1,outlook-item-body-prepend-text-to-item-body,prependText
Office,Body,prependOnSendAsync,1,outlook-item-body-prepend-text-on-send,prependOnSend
Office,Body,setAsync,1,outlook-item-body-add-inline-base64-image,appendImage
Office,Body,setSelectedDataAsync,1,outlook-item-body-replace-selected-text,replaceSelection
Office,Body,setSignatureAsync,1,outlook-other-item-apis-work-with-client-signatures,setSignatureWithInlineImage
Office,Body,setSignatureAsync,1,outlook-other-item-apis-work-with-client-signatures,setSignature
Office,Categories,addAsync,1,outlook-categories-work-with-categories,addCategories
Office,Categories,getAsync,2,outlook-categories-work-with-categories,getCategories
