Package,Class,Member Name,Member ID or top-level category,SnippetIdInTheYAMLFile,MethodNameInTheSnippet
Office,SetSelectedDataOptions,,interface,powerpoint-slide-management-export-import-slide,addImageToCurrentSlide
PowerPoint,AddSlideOptions,,interface,powerpoint-add-slides,addSlide
PowerPoint,Binding,,class,powerpoint-shapes-binding-to-shapes,getShapeForBindingId
PowerPoint,Binding,getShape,1,powerpoint-shapes-binding-to-shapes,getShapeForBindingId
PowerPoint,BindingCollection,,class,powerpoint-shapes-binding-to-shapes,loadBindings
PowerPoint,BindingCollection,add,1,powerpoint-shapes-binding-to-shapes,insertImageWithBinding
PowerPoint,BindingCollection,getItem,1,powerpoint-shapes-binding-to-shapes,getShapeForBindingId
PowerPoint,BindingType,,enum,powerpoint-shapes-binding-to-shapes,insertImageWithBinding
PowerPoint,BorderProperties,,interface,powerpoint-shapes-add-modify-tables,tableBorders
PowerPoint,BorderProperties,color,,powerpoint-shapes-add-modify-tables,tableBorders
PowerPoint,BorderProperties,dashStyle,,powerpoint-shapes-add-modify-tables,tableBorders
PowerPoint,BorderProperties,weight,,powerpoint-shapes-add-modify-tables,tableBorders
PowerPoint,BulletFormat,,class,powerpoint-text-get-set-textrange,getSelectedTextRangeComplexProperties
PowerPoint,ConnectorType,,enum,powerpoint-shapes,createLine
PowerPoint,FillProperties,,interface,powerpoint-shapes-add-modify-tables,tableCellFillFont
PowerPoint,FillProperties,color,,powerpoint-shapes-add-modify-tables,tableCellFillFont
PowerPoint,FontProperties,,interface,powerpoint-shapes-add-modify-tables,tableCellFillFont
PowerPoint,FontProperties,color,,powerpoint-shapes-add-modify-tables,tableCellFillFont
PowerPoint,FontProperties,doubleStrikethrough,,powerpoint-shapes-add-modify-tables,tableCellFillFont
PowerPoint,FontProperties,name,,powerpoint-shapes-add-modify-tables,tableCellFillFont
PowerPoint,FontProperties,strikethrough,,powerpoint-shapes-add-modify-tables,tableCellFillFont
PowerPoint,FontProperties,subscript,,powerpoint-shapes-add-modify-tables,tableCellFillFont
PowerPoint,FontProperties,superscript,,powerpoint-shapes-add-modify-tables,tableCellFillFont
PowerPoint,GeometricShapeType,,enum,powerpoint-shapes,createHexagon
PowerPoint,Hyperlink,,class,powerpoint-hyperlinks-manage-hyperlinks,getHyperlinks
PowerPoint,Hyperlink,delete,1,powerpoint-hyperlinks-manage-hyperlinks,deleteHyperlinkFromTextRange
PowerPoint,HyperlinkAddOptions,,interface,powerpoint-hyperlinks-manage-hyperlinks,setHyperlinkOnTextRange
PowerPoint,HyperlinkCollection,,class,powerpoint-hyperlinks-manage-hyperlinks,getHyperlinks
PowerPoint,InsertSlideFormatting,,enum,powerpoint-insert-slides,insertAfterSelectedSlide
PowerPoint,InsertSlideOptions,,interface,powerpoint-insert-slides,insertAfterSelectedSlide
PowerPoint,ParagraphFormat,,class,powerpoint-text-get-set-textrange,getSelectedTextRangeComplexProperties
PowerPoint,ParagraphHorizontalAlignment,,enum,powerpoint-shapes-add-modify-tables,tableCellAlignment
PowerPoint,PictureAddOptions,,class,powerpoint-add-picture,insertPicture
PowerPoint,PlaceholderFormat,,class,powerpoint-shapes-get-shapes-by-type,getPlaceholderShapes
PowerPoint,PlaceholderType,,enum,powerpoint-shapes-get-shapes-by-type,getPlaceholderShapes
PowerPoint,Presentation,,class,powerpoint-insert-slides,insertAfterSelectedSlide
PowerPoint,Presentation,getActiveSlideOrNullObject,1,powerpoint-basics-presentation-get-active-slide,getActiveSlide
PowerPoint,Presentation,getSelectedShapes,1,powerpoint-shapes-get-set-shapes,arrangeSelected
PowerPoint,Presentation,getSelectedShapes,1,powerpoint-shapes-get-set-shapes,getSelectedShapes
PowerPoint,Presentation,getSelectedShapes,1,powerpoint-shapes-get-set-shapes,saveShapeSelection
