Package,Class,Member Name,Member ID or top-level category,SnippetIdInTheYAMLFile,MethodNameInTheSnippet
Office,FileType,,enum,word-document-get-file-as-pdf,run
Word,Alignment,,enum,word-paragraph-paragraph-properties,setup
Word,Annotation,,class,word-document-manage-annotations,acceptFirst
Word,Annotation,delete,1,word-document-manage-annotations,deleteAnnotations
Word,Annotation,critiqueAnnotation,,word-document-manage-annotations,getAnnotations
Word,Annotation,id,,word-document-manage-annotations,acceptFirst
Word,Annotation,state,,word-document-manage-annotations,rejectLast
Word,AnnotationClickedEventArgs,,interface,word-document-manage-annotations,registerEventHandlers
Word,AnnotationClickedEventArgs,,interface,word-document-manage-annotations,onClickedHandler
Word,AnnotationCollection,,class,word-document-manage-annotations,getAnnotations
Word,AnnotationHoveredEventArgs,,interface,word-document-manage-annotations,registerEventHandlers
Word,AnnotationHoveredEventArgs,,interface,word-document-manage-annotations,onHoveredHandler
Word,AnnotationInsertedEventArgs,,interface,word-document-manage-annotations,registerEventHandlers
Word,AnnotationInsertedEventArgs,,interface,word-document-manage-annotations,onInsertedHandler
Word,AnnotationPopupActionEventArgs,,interface,word-document-manage-annotations,registerEventHandlers
Word,AnnotationPopupActionEventArgs,,interface,word-document-manage-annotations,onPopupActionHandler
Word,AnnotationRemovedEventArgs,,interface,word-document-manage-annotations,registerEventHandlers
Word,AnnotationRemovedEventArgs,,interface,word-document-manage-annotations,onRemovedHandler
Word,AnnotationSet,,interface,word-document-manage-annotations,insertAnnotations
Word,AnnotationState,,enum,word-document-manage-annotations,acceptFirst
Word,Application,,class,word-document-insert-external-document,insertDocument
Word,Application,createDocument,1,word-document-insert-external-document,insertDocument
Word,Application,retrieveStylesFromBase64,1,word-document-get-external-styles,getExternalStyles
Word,Body,clear,1,word-document-manage-body,clear
Word,Body,getComments,1,word-document-manage-comments,getComments
Word,Body,getHtml,1,word-document-manage-body,getHTML
Word,Body,getOoxml,1,word-document-manage-body,getOOXML
Word,Body,getRange,1,word-lists-format-list-range,getListFormatInfo
Word,Body,getTrackedChanges,1,word-document-manage-tracked-changes,getAllTrackedChanges
Word,Body,insertBreak,1,word-document-manage-body,insertPageBreak
Word,Body,insertContentControl,1,word-document-manage-body,insertContentControl
Word,Body,insertFileFromBase64,1,word-document-manage-body,insertExternalBody
Word,Body,insertHtml,1,word-document-manage-body,insertHTML
Word,Body,insertInlinePictureFromBase64,1,word-document-manage-body,insertImageInline
Word,Body,insertOoxml,1,word-document-manage-body,insertOOXML
Word,Body,insertParagraph,1,word-paragraph-insert-formatted-text,addFormattedParagraph
Word,Body,insertTable,1,word-tables-table-cell-access,insertTable
Word,Body,insertText,1,word-document-manage-body,insertText
Word,Body,search,1,word-paragraph-search,basicSearch
Word,Body,search,1,word-paragraph-search,wildcardSearch
Word,Body,select,1,word-document-manage-body,select
Word,Body,fields,,word-document-manage-fields,getAllFields
Word,Body,font,,word-document-manage-body,getFontProperties
Word,Body,footnotes,,word-document-manage-footnotes,getFootnotesFromBody
Word,Body,inlinePictures,,word-images-insert-and-get-pictures,getImage
Word,Body,lists,,word-lists-organize-list,getListProps
Word,Body,onCommentAdded,,word-manage-comments,registerEventHandlers
Word,Body,onCommentAdded,,word-manage-comments,onEventHandler
Word,Body,onCommentChanged,,word-manage-comments,registerEventHandlers
Word,Body,onCommentChanged,,word-manage-comments,onChangedHandler
Word,Body,onCommentDeleted,,word-manage-comments,registerEventHandlers
Word,Body,onCommentDeleted,,word-manage-comments,onEventHandler
Word,Body,onCommentDeselected,,word-manage-comments,registerEventHandlers
Word,Body,onCommentDeselected,,word-manage-comments,onEventHandler
Word,Body,onCommentSelected,,word-manage-comments,registerEventHandlers
Word,Body,onCommentSelected,,word-manage-comments,onEventHandler
Word,Body,paragraphs,,word-paragraph-get-word-count,run
Word,Body,shapes,,word-shapes-manage-shapes-text-boxes,getTextBoxesInMainDoc
Word,Body,tables,,word-tables-table-cell-access,getTableCell
Word,Body,text,,word-document-manage-body,getText
Word,Body,type,,word-document-manage-footnotes,getFootnoteType
Word,BodyType,,enum,word-document-manage-footnotes,getFootnoteType
Word,Border,,class,word-document-manage-styles,setBorderProperties
Word,BorderCollection,,class,word-document-manage-styles,setBorderProperties
Word,BorderCollection,outsideBorderColor,,word-document-manage-styles,setBorderProperties
